,Hour&Minute,VehCount
93,00:00,5.625
77,00:15,6.0
59,00:30,5.625
70,00:45,4.25
43,01:00,3.75
23,01:15,2.75
94,01:30,5.0
14,01:45,2.5
38,02:00,1.75
10,02:15,2.375
58,02:30,1.75
81,02:45,1.75
72,03:00,1.25
85,03:15,1.625
17,03:30,1.5
92,03:45,1.0
16,04:00,0.625
25,04:15,1.0
61,04:30,1.125
79,04:45,1.875
21,05:00,2.375
54,05:15,2.375
34,05:30,4.625
82,05:45,7.0
84,06:00,6.875
87,06:15,11.25
28,06:30,15.857142857142858
76,06:45,16.875
78,07:00,23.125
24,07:15,35.875
66,07:30,32.25
89,07:45,30.5
15,08:00,34.57142857142857
95,08:15,33.875
74,08:30,28.375
62,08:45,28.875
68,09:00,21.875
6,09:15,21.5
26,09:30,22.25
11,09:45,20.5
64,10:00,17.0
63,10:15,15.5
29,10:30,15.25
3,10:45,18.375
13,11:00,16.75
0,11:15,18.875
57,11:30,21.625
35,11:45,22.875
18,12:00,18.5
51,12:15,21.875
86,12:30,16.625
7,12:45,19.125
67,13:00,15.875
91,13:15,19.5
36,13:30,20.875
60,13:45,23.875
83,14:00,17.875
46,14:15,21.5
32,14:30,26.0
27,14:45,23.375
39,15:00,22.875
19,15:15,30.875
44,15:30,24.75
65,15:45,22.0
90,16:00,21.875
33,16:15,21.75
80,16:30,21.625
48,16:45,26.75
88,17:00,26.25
55,17:15,22.625
5,17:30,26.75
20,17:45,27.75
41,18:00,27.75
52,18:15,26.125
12,18:30,25.25
4,18:45,24.5
71,19:00,25.375
31,19:15,22.625
47,19:30,24.625
8,19:45,23.375
50,20:00,20.625
42,20:15,23.375
1,20:30,22.0
49,20:45,19.875
30,21:00,16.875
2,21:15,15.75
69,21:30,13.875
45,21:45,14.625
37,22:00,16.375
53,22:15,11.875
22,22:30,12.375
9,22:45,11.25
73,23:00,12.25
40,23:15,9.75
56,23:30,8.25
75,23:45,6.625
