,Hour&Minute,VehCount
25,00:00,12.125
47,00:15,10.5
76,00:30,9.25
77,00:45,8.375
78,01:00,6.625
53,01:15,4.5
80,01:30,6.25
4,01:45,5.875
29,02:00,4.0
32,02:15,3.125
41,02:30,2.875
70,02:45,3.5
56,03:00,3.75
12,03:15,3.625
79,03:30,5.25
65,03:45,2.625
71,04:00,2.0
72,04:15,3.625
59,04:30,4.75
63,04:45,5.375
64,05:00,6.25
2,05:15,8.25
16,05:30,14.625
66,05:45,16.0
33,06:00,21.875
43,06:15,33.5
75,06:30,42.375
73,06:45,52.875
5,07:00,71.375
23,07:15,73.875
61,07:30,76.125
35,07:45,64.125
42,08:00,74.0
6,08:15,68.28571428571429
14,08:30,71.28571428571429
18,08:45,71.875
91,09:00,50.875
62,09:15,50.5
49,09:30,43.75
11,09:45,40.125
74,10:00,42.25
90,10:15,39.5
31,10:30,41.625
27,10:45,53.375
92,11:00,46.875
67,11:15,53.125
52,11:30,49.875
45,11:45,51.75
57,12:00,55.125
8,12:15,62.75
50,12:30,63.625
24,12:45,66.625
46,13:00,67.5
22,13:15,68.125
85,13:30,73.375
15,13:45,76.75
39,14:00,83.75
69,14:15,80.625
55,14:30,95.875
60,14:45,90.125
20,15:00,85.85714285714286
3,15:15,77.625
44,15:30,81.5
36,15:45,78.125
95,16:00,82.625
84,16:15,80.25
21,16:30,77.25
30,16:45,79.125
83,17:00,75.875
37,17:15,79.375
38,17:30,85.125
58,17:45,79.25
0,18:00,89.0
82,18:15,84.625
26,18:30,77.5
13,18:45,70.125
86,19:00,64.0
9,19:15,68.875
87,19:30,62.75
1,19:45,64.875
54,20:00,61.875
48,20:15,58.5
10,20:30,56.5
7,20:45,54.375
19,21:00,50.75
89,21:15,44.125
68,21:30,35.125
51,21:45,29.5
28,22:00,32.375
94,22:15,25.875
93,22:30,20.125
40,22:45,18.25
34,23:00,15.875
88,23:15,13.625
17,23:30,11.125
81,23:45,12.0
