,Hour&Minute,VehCount
17,00:00,11.0
65,00:15,11.625
30,00:30,8.625
53,00:45,6.625
80,01:00,7.75
48,01:15,4.625
85,01:30,6.125
39,01:45,4.285714285714286
50,02:00,3.5
33,02:15,3.5
7,02:30,2.75
62,02:45,2.75
93,03:00,2.625
4,03:15,2.4285714285714284
18,03:30,2.25
92,03:45,1.625
24,04:00,1.625
23,04:15,1.375
67,04:30,2.25
44,04:45,2.0
9,05:00,2.0
68,05:15,3.375
27,05:30,3.25
63,05:45,4.571428571428571
74,06:00,4.375
49,06:15,6.5
46,06:30,5.428571428571429
32,06:45,11.625
36,07:00,22.375
1,07:15,23.875
42,07:30,30.25
25,07:45,27.125
86,08:00,42.166666666666664
78,08:15,38.42857142857143
45,08:30,25.0
10,08:45,28.714285714285715
41,09:00,27.333333333333332
43,09:15,26.857142857142858
12,09:30,26.25
16,09:45,35.5
90,10:00,29.857142857142858
64,10:15,30.0
76,10:30,35.0
72,10:45,41.625
21,11:00,36.25
87,11:15,42.25
61,11:30,41.0
6,11:45,45.375
82,12:00,48.42857142857143
55,12:15,45.125
35,12:30,46.875
5,12:45,51.875
71,13:00,48.625
37,13:15,54.5
95,13:30,55.875
69,13:45,54.75
34,14:00,48.25
40,14:15,54.125
73,14:30,61.25
22,14:45,57.625
91,15:00,61.875
89,15:15,67.125
77,15:30,64.875
57,15:45,61.125
38,16:00,62.75
29,16:15,63.375
70,16:30,58.75
15,16:45,63.125
14,17:00,64.375
0,17:15,62.875
52,17:30,65.375
79,17:45,61.25
75,18:00,55.5
31,18:15,56.5
84,18:30,57.5
94,18:45,56.285714285714285
26,19:00,53.714285714285715
51,19:15,52.625
8,19:30,43.75
60,19:45,48.875
28,20:00,45.0
56,20:15,35.75
88,20:30,36.75
83,20:45,33.75
54,21:00,25.75
13,21:15,26.857142857142858
66,21:30,24.875
58,21:45,21.75
11,22:00,18.0
2,22:15,20.125
59,22:30,17.125
3,22:45,17.125
81,23:00,14.25
20,23:15,16.375
19,23:30,13.875
47,23:45,12.25
