,Hour&Minute,VehCount
95,00:00,14.75
39,00:15,12.375
29,00:30,12.0
40,00:45,8.875
47,01:00,8.875
49,01:15,6.75
30,01:30,7.375
12,01:45,6.625
25,02:00,5.875
51,02:15,4.75
52,02:30,3.625
17,02:45,2.5
19,03:00,4.125
42,03:15,4.25
24,03:30,3.25
44,03:45,3.875
48,04:00,4.375
43,04:15,4.25
3,04:30,4.0
21,04:45,3.75
37,05:00,3.375
23,05:15,5.125
41,05:30,8.5
50,05:45,7.125
14,06:00,7.25
4,06:15,11.375
22,06:30,15.375
5,06:45,24.25
6,07:00,38.5
45,07:15,21.0
18,07:30,28.75
46,07:45,29.5
67,08:00,31.857142857142858
59,08:15,21.875
60,08:30,23.0
72,08:45,32.0
26,09:00,27.5
56,09:15,24.875
8,09:30,28.75
28,09:45,23.75
58,10:00,25.75
65,10:15,23.5
27,10:30,28.25
62,10:45,30.375
54,11:00,30.875
63,11:15,34.5
33,11:30,32.375
71,11:45,37.25
76,12:00,41.75
36,12:15,43.75
92,12:30,39.25
1,12:45,45.625
16,13:00,45.75
85,13:15,46.625
91,13:30,43.625
81,13:45,50.0
68,14:00,45.875
88,14:15,43.875
61,14:30,37.75
13,14:45,48.25
90,15:00,47.625
87,15:15,54.375
66,15:30,52.0
78,15:45,53.875
7,16:00,58.875
31,16:15,49.25
84,16:30,47.875
86,16:45,54.75
15,17:00,46.25
57,17:15,49.125
35,17:30,54.375
93,17:45,51.375
2,18:00,53.375
89,18:15,47.125
77,18:30,52.0
32,18:45,48.625
82,19:00,46.125
38,19:15,42.625
55,19:30,39.625
75,19:45,41.625
64,20:00,38.125
70,20:15,31.875
9,20:30,35.875
74,20:45,32.375
79,21:00,32.375
0,21:15,33.0
34,21:30,27.625
80,21:45,29.125
53,22:00,27.25
11,22:15,21.75
10,22:30,20.5
20,22:45,17.375
94,23:00,19.25
73,23:15,14.75
83,23:30,16.125
69,23:45,12.125
