,Hour&Minute,VehCount
80,00:00,5
73,00:15,7
58,00:30,6
79,00:45,8
42,01:00,5
22,01:15,2
89,01:30,5
13,01:45,2
37,02:00,1
9,02:15,7
57,02:30,0
70,02:45,3
63,03:00,0
90,03:15,2
16,03:30,1
85,03:45,1
15,04:00,0
24,04:15,1
71,04:30,0
92,04:45,3
20,05:00,3
53,05:15,3
33,05:30,8
72,05:45,9
93,06:00,10
86,06:15,17
27,06:30,26
69,06:45,24
91,07:00,35
23,07:15,48
60,07:30,45
82,07:45,38
14,08:00,46
94,08:15,44
68,08:30,30
88,08:45,35
62,09:00,26
5,09:15,27
25,09:30,29
10,09:45,20
65,10:00,17
67,10:15,13
28,10:30,20
2,10:45,21
12,11:00,21
95,11:15,25
56,11:30,21
34,11:45,28
17,12:00,24
50,12:15,30
74,12:30,25
6,12:45,31
77,13:00,18
78,13:15,24
35,13:30,37
59,13:45,29
87,14:00,25
45,14:15,45
31,14:30,33
26,14:45,38
38,15:00,23
18,15:15,40
43,15:30,38
84,15:45,27
81,16:00,36
32,16:15,35
75,16:30,39
47,16:45,43
83,17:00,38
54,17:15,30
4,17:30,48
19,17:45,41
40,18:00,47
51,18:15,46
11,18:30,33
3,18:45,33
66,19:00,37
30,19:15,36
46,19:30,29
7,19:45,42
49,20:00,18
41,20:15,31
0,20:30,42
48,20:45,35
29,21:00,20
1,21:15,21
61,21:30,16
44,21:45,14
36,22:00,23
52,22:15,20
21,22:30,16
8,22:45,11
76,23:00,15
39,23:15,11
55,23:30,10
64,23:45,7
